Journal,Quartile,IF
agroforestry systems,Q1,3.2
agroindustria sociedad y ambiente asa,Q4,<0.1
agrolife scientific journal,Q3,1
agronomia mesoamericana,Q4,0.6
agronomy basel,Q1,4.1
agronomy for sustainable development,Q1,8.2
agronomy journal,Q2,2.5
agrosystems geosciences environment,Q2,2.1
agu advances,Q1,7.4
agua y territorio,Q4,1.1
ai,Q1,6.5
ai communications,Q4,1.3
ai edam artificial intelligence for engineering design analysis and manufacturing,Q2,2.5
ai magazine,Q2,3.5
ai open,Q1,8.9
ai society,Q2,6.1
aiaa journal,Q1,3.2
aib studi,Q4,0.2
aibr revista de antropologia iberoamericana,Q4,0.4
aiche journal,Q2,4.4
aids,Q2,2.9
aids and behavior,Q2,2.5
aids care psychological and socio medical aspects of aids hiv,Q3,1.5
aids education and prevention,Q2,1.5
aids patient care and stds,Q1,4.4
aids research and human retroviruses,Q4,1
aids research and therapy,Q2,2.8
aids research and treatment,Q3,2.1
aids reviews,Q3,2
aila review,Q3,0.8
aims agriculture and food,Q2,1.8
aims allergy and immunology,Q4,0.4
aims bioengineering,Q4,1.6
aims biophysics,Q4,1.9
aims energy,Q4,2
aims environmental science,Q4,1.3
aims geosciences,Q4,1.1
aims materials science,Q4,2.1
aims mathematics,Q1,1.8
aims medical science,Q4,0.7
aims microbiology,Q1,5.4
aims molecular science,Q4,1.3
aims neuroscience,Q2,4.3
aims public health,Q1,4
ain shams engineering journal,Q1,6.2
ain shams journal of anesthesiology,Q4,0.4
aip advances,Q4,1.7
air quality atmosphere and health,Q3,3.1
air soil and water research,Q3,2.9
air space law,Q2,0.8
aircraft engineering and aerospace technology,Q2,2
ais transactions on human computer interaction,Q1,3.4
aitia regards sur la culture hellenistique au xxie siecle,Q4,<0.1
ajalooline ajakiri the estonian historical journal,Q2,0.3
ajar african journal of aids research,Q4,1.3
ajidd american journal on intellectual and developmental disabilities,Q1,2.3
ajil unbound,Q1,1.8
ajog global reports,Q2,2.7
ajp reports,Q4,0.7
ajpm focus,Q2,2.8
ajs review the journal of the association for jewish studies,Q2,0.3
akademika,Q3,0.6
akce international journal of graphs and combinatorics,Q2,0.9
akkadica,,0.3
akroterion journal for the classics in south africa,,0.1
aktualni gynekologie a porodnictvi,Q4,0.1
aktualnosci neurologiczne,Q4,0.2
aktuelle dermatologie,Q4,0.1
aktuelle ernahrungsmedizin,Q4,0.5
aktuelle kardiologie,Q4,<0.1
aktuelle rheumatologie,Q4,0.1
aktuelle urologie,Q4,0.5
akustika,Q4,0.8
al arabiyya journal of the american association of teachers of arabic,,0.1
al bayan journal of quran and hadith studies,,0.1
al jamiah journal of islamic studies,,0.3
al masaq journal of the medieval mediterranean,,0.6
al qantara,Q1,0.6
al shajarah,,0.1
alabe revista de investigacion sobre lectura y escritura,,0.2
alberta law review,Q2,0.7
alcheringa,Q1,2.6
alcohol,Q2,2.9
alcohol and alcoholism,Q3,2.3
alcohol clinical and experimental research,Q2,2.4
alcohol research current reviews,Q1,8.4
alcoholism treatment quarterly,Q4,1.2
aldrichimica acta,Q4,0.8
alea estudos neolatinos,,0.1
alea latin american journal of probability and mathematical statistics,Q4,0.6
alergia astma immunologia,Q4,0.2
alergologia polska polish journal of allergology,Q4,1.1
alexandria engineering journal,Q1,6.4
alexandria journal of medicine,Q3,0.7
algae,Q1,3.3
algal research biomass biofuels and bioproducts,Q1,5
algebra and discrete mathematics,Q4,0.4
algebra and logic,Q4,0.4
algebra colloquium,Q4,0.3
algebra number theory,Q1,1.4
algebra universalis,Q4,0.4
algebraic and geometric topology,Q2,0.8
algebraic combinatorics,Q2,1.1
algebraic geometry,Q2,1.1
algebras and representation theory,Q3,0.6
algorithmica,Q3,1
algorithms,Q2,2.6
algorithms for molecular biology,Q3,1.6
alicante journal of english studies revista alicantina de estudios ingleses,Q3,0.3
alimentary pharmacology therapeutics,Q1,6.8
alkoholizm i narkomania alcoholism and drug addiction,Q4,0.5
all azimuth a journal of foreign policy and peace,Q3,1
all earth,Q2,3
all life,Q3,1.4
allergo journal,Q4,0.4
allergologie,Q4,0.7
allergologie select,Q1,5.1
allergology international,Q1,6.2
allergy,Q1,11.3
allergy and asthma proceedings,Q3,2
allergy asthma and clinical immunology,Q2,3
allergy asthma immunology research,Q2,4.3
allergy asthma respiratory disease,Q4,0.3
allgemeine vermessungs nachrichten,Q4,0.3
allgemeine zeitschrift fur philosophie,,0.2
almatourism journal of tourism culture and territorial development,Q4,0.3
aloma revista de psicologia ciencies de l educacio i de l esport,Q3,1.3
alpha psychiatry,Q2,2.9
alpha revista de artes letras y filosofia,,0.2
alpine botany,Q1,3.9
alpine entomology,Q2,1.4
alsic apprentissage des langues et systems d information et de communication,Q4,0.2
alter european journal of disability research,Q4,0.2
alteridad revista de educacion,Q3,0.9
alternativas cuadernos de trabajo social,Q3,0.9
alternative an international journal of indigenous peoples,Q2,1.4
alternative law journal,Q2,0.8
alternatives,Q3,1.4
altex alternatives to animal experimentation,Q1,5.5
altre modernita rivista di studi letterari e culturali,Q4,0.1
alzheimer disease associated disorders,Q3,1.6
alzheimer s dementia diagnosis assessment disease monitoring,Q1,4.9
alzheimers dementia,Q1,12.8
alzheimers dementia translational research clinical interventions,Q1,7.4
alzheimers research therapy,Q1,8.9
am journal of art and media studies,,0.2
ama agricultural mechanization in asia africa and latin america,Q4,0.7
amaltea revista de mitocritica,,<0.1
amb express,Q2,3.9
ambio,Q1,5.7
ambitos,Q3,0.6
ambitos revista de estudios de ciencias sociales y humanidades,,<0.1
ambix,Q3,0.6
ame case reports,Q3,0.6
ame medical journal,Q3,0.8
ame surgical journal,Q4,0.7
ameghiniana,Q3,1.4
amerasia journal,,0.3
america latina hoy revista de ciencias sociales,Q3,0.6
america sin nombre,,0.2
american annals of the deaf,Q4,1
american anthropologist,Q1,1.9
american antiquity,Q1,1.9
american art,,0.2
american bankruptcy law journal,Q3,0.4
american behavioral scientist,Q2,1.7
american biology teacher,Q4,0.4
american book review,,0.2
american british and canadian studies,,<0.1
american business law journal,Q2,1.1
american catholic philosophical quarterly,,0.4
american ceramic society bulletin,Q4,0.5
american criminal law review,Q2,0.6
american economic journal applied economics,Q1,6.1
american economic journal economic policy,Q1,5.5
american economic journal macroeconomics,Q1,6.9
american economic journal microeconomics,Q2,2.3
american economic review,Q1,9.5
american economic review insights,Q1,5.1
american educational research journal,Q1,3.8
american ethnologist,Q1,3.3
american fern journal,Q4,0.5
american heart journal,Q2,3.4
american heart journal plus cardiology research and practice,Q3,2.3
american historical review,Q1,0.9
american imago,,0.1
american indian and alaska native mental health research,Q3,1.2
american indian culture and research journal,Q2,0.4
american jewish history,Q3,0.2
american journal of agricultural economics,Q1,4.9
american journal of alzheimers disease and other dementias,Q2,3.3
american journal of archaeology,,1
american journal of audiology,Q2,1.7
american journal of bioethics,Q1,17.6
american journal of biological anthropology,Q1,2.4
american journal of botany,Q2,2.8
american journal of business,Q3,2
american journal of cancer research,Q2,3.1
american journal of cardiology,Q2,2.5
american journal of cardiovascular disease,Q3,1.4
american journal of cardiovascular drugs,Q2,3.2
american journal of case reports,Q3,0.8
american journal of chinese medicine,Q1,7.8
american journal of clinical and experimental immunology,Q4,1.9
american journal of clinical and experimental urology,Q3,1.5
american journal of clinical dermatology,Q1,11.4
american journal of clinical hypnosis,Q4,0.5
american journal of clinical nutrition,Q1,7.1
american journal of clinical oncology cancer clinical trials,Q4,1.8
american journal of clinical pathology,Q2,2.3
american journal of community psychology,Q1,2.8
american journal of comparative law,Q2,1.3
american journal of criminal justice,Q2,1.7
american journal of critical care,Q1,2.6
american journal of cultural sociology,Q3,1.3
american journal of dance therapy,Q3,1.2
american journal of dentistry,Q4,1.1
american journal of dermatopathology,Q4,0.8
american journal of distance education,Q3,1.2
american journal of drug and alcohol abuse,Q2,2.6
american journal of economics and sociology,Q2,1.8
american journal of education,Q2,1.9
american journal of emergency medicine,Q2,2.9
american journal of enology and viticulture,Q2,2.2
american journal of epidemiology,Q1,4.1
american journal of evaluation,Q2,1.1
american journal of family therapy,Q4,0.8
american journal of forensic medicine and pathology,Q4,0.7
american journal of gastroenterology,Q1,8.5
american journal of geriatric psychiatry,Q1,5.1
american journal of health economics,Q2,1.9
american journal of health education,Q4,1
american journal of health promotion,Q3,2.1
american journal of health system pharmacy,Q3,1.9
american journal of hematology,Q1,9.4
american journal of hospice palliative medicine,Q4,1.4
american journal of human biology,Q1,1.9
american journal of human genetics,Q1,7.7
american journal of hypertension,Q2,2.9
american journal of industrial medicine,Q2,2.4
american journal of infection control,Q2,2.6
american journal of international law,Q1,2.3
american journal of kidney diseases,Q1,9.4
american journal of law medicine,Q2,0.7
american journal of legal history,Q2,0.7
american journal of lifestyle medicine,Q3,1.9
american journal of managed care,Q2,2.1
american journal of mathematics,Q1,1.9
american journal of medical genetics part a,Q4,1.7
american journal of medical genetics part b neuropsychiatric genetics,Q4,1.4
american journal of medical genetics part c seminars in medical genetics,Q3,2.5
american journal of medical quality,Q4,1.1
american journal of medicine,Q1,6
american journal of mens health,Q2,2.4
american journal of nephrology,Q1,3.8
american journal of neuroradiology,Q2,3.5
american journal of nuclear medicine and molecular imaging,Q3,1.7
american journal of nursing,Q2,2.1
american journal of obstetrics and gynecology,Q1,7.9
american journal of obstetrics gynecology mfm,Q1,3.6
american journal of occupational therapy,Q1,2.4
american journal of ophthalmology,Q1,4.7
american journal of orthodontics and dentofacial orthopedics,Q1,4.4
american journal of orthopsychiatry,Q1,1.9
american journal of otolaryngology,Q2,1.8
american journal of pathology,Q1,4.9
american journal of perinatology,Q3,1.4
american journal of pharmaceutical education,Q1,3.1
american journal of philology,,0.3
american journal of physical medicine rehabilitation,Q2,2.3
american journal of physics,Q3,0.9
american journal of physiology cell physiology,Q1,5.4
american journal of physiology endocrinology and metabolism,Q1,4.2
american journal of physiology gastrointestinal and liver physiology,Q2,3
american journal of physiology heart and circulatory physiology,Q1,3.9
american journal of physiology lung cellular and molecular physiology,Q1,3.8
american journal of physiology regulatory integrative and comparative physiology,Q2,2.6
american journal of physiology renal physiology,Q1,3.6
american journal of play,Q3,0.5
american journal of political science,Q1,4.7
american journal of potato research,Q3,1.5
american journal of preventive cardiology,Q1,5.4
american journal of preventive medicine,Q1,4.7
american journal of primatology,Q2,1.7
american journal of psychiatry,Q1,15.9
american journal of psychology,Q4,0.4
american journal of psychotherapy,Q3,1.7
american journal of public health,Q1,7.8
american journal of reproductive immunology,Q3,2.5
american journal of respiratory and critical care medicine,Q1,21.7
american journal of respiratory cell and molecular biology,Q1,5.4
american journal of rhinology allergy,Q1,2.8
american journal of roentgenology,Q1,7.4
american journal of science,Q2,3.5
american journal of semiotics,,0.1
american journal of sexuality education,Q2,1.4
american journal of sociology,Q1,4.3
american journal of speech language pathology,Q1,2.5
american journal of sports medicine,Q1,5.4
american journal of stem cells,Q3,2.7
american journal of surgery,Q2,2.3
american journal of surgical pathology,Q1,4.2
american journal of the medical sciences,Q2,2.4
american journal of therapeutics,Q2,3.5
american journal of translational research,Q3,1.8
american journal of transplantation,Q1,8.1
american journal of tropical medicine and hygiene,Q3,1.9
american journal of veterinary research,Q2,1.6
american journal on addictions,Q3,2.2
american journalism,Q4,0.4
american law and economics review,Q3,0.5
american literary history,,0.4
american literature,,0.7
american malacological bulletin,Q3,0.8
american mathematical monthly,Q3,0.5
american mineralogist,Q2,2.6
american museum novitates,Q2,1.3
american music,,0.1
american naturalist,Q2,2.7
american nineteenth century history,Q3,0.2
american periodicals,,0.1
american philosophical quarterly,,1.2
american poetry review,,<0.1
american political science review,Q1,5.9
american political thought,Q4,0.4
american politics research,Q2,1.6
american psychologist,Q1,6.6
american quarterly,,0.9
american review of canadian studies,Q4,0.3
american review of public administration,Q2,2.9
american scientist,Q4,0.5
american sociological review,Q1,6.9
american sociologist,Q3,0.9
american speech,Q3,0.5
american statistician,Q1,2.2
american studies in scandinavia,,0.1
american surgeon,Q3,1
americania revista de estudios latinoamericanos,Q3,0.2
americas,Q1,1.1
amfiteatru economic,Q2,2.6
amino acids,Q3,3.2
amme idaresi dergisi,Q4,0.2
amphibia reptilia,Q2,1.3
amphibian reptile conservation,Q3,1.1
amyloid journal of protein folding disorders,Q1,5.1
amyotrophic lateral sclerosis and frontotemporal degeneration,Q3,2.4
anacronismo e irrupcion,Q4,<0.1
anadolu arastirmalari anatolian research,Q3,0.2
anadolu universitesi sanat tasarim dergisi anadolu university journal of art design,,0.4
anaerobe,Q3,3.1
anaesthesia,Q1,7.4
anaesthesia and intensive care,Q3,1.5
anaesthesia and intensive care medicine,Q4,0.6
anaesthesia critical care pain medicine,Q1,5.4
anaesthesia pain intensive care,Q4,0.3
anaesthesia reports,Q3,1.1
anaesthesiologie,Q3,1.1
anaesthesiology intensive therapy,Q2,2.3
anafora,,0.1
anais brasileiros de dermatologia,Q1,4.4
anais brasileiros de estudos turisticos abet,Q4,0.3
anais da academia brasileira de ciencias,Q3,1.2
analecta politica,Q4,0.1
analele stiintifice ale universitatii ovidius constanta seria matematica,Q3,0.5
analele universitatii bucuresti filosofie annals of the university of bucharest philosophy,,<0.1
anales afa,Q4,0.2
anales cervantinos,,<0.1
anales de documentacion,Q4,0.3
anales de filologia francesa,,0.1
anales de geografia de la universidad complutense,Q4,0.3
anales de historia del arte,,0.1
anales de la facultad de medicina universidad de la republica uruguay,Q4,0.1
anales de la literatura espanola contemporanea,,0.1
anales de la universidad de alicante historia medieval,,0.2
anales de literatura chilena,,0.1
anales de literatura espanola,,0.2
anales de literatura hispanoamericana,,<0.1
anales de pediatria,Q1,2.6
anales de psicologia,Q2,1.8
anales del instituto de actuarios espanoles,Q4,0.6
anales del jardin botanico de madrid,Q4,0.4
anales del seminario de historia de la filosofia,,0.2
anales del sistema sanitario de navarra,Q4,1.1
anales galdosianos,,0.1
anali zavoda za povijesne znanosti hrvatske akademije znanosti i umjetnosti u dubrovniku,Q3,0.1
analisi quaderns de comunicacio i cultura,Q3,1.3
analisis filosofico,,0.1
analog integrated circuits and signal processing,Q3,1.8
analyses of social issues and public policy,Q3,1.4
analyses revue de critique et de theorie litteraire,,<0.1
